,notes
0,"[[11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 5, 1], [12, 11, 9, 8, 7, 6, 5, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
1,"[[11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
2,"[[9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 1], [9, 7, 5, 4, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 3, 1]]"
3,"[[12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 3, 1], [11, 9, 5, 3, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1]]"
4,"[[10, 9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 3, 1, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [12, 9, 7, 6, 5, 4, 3, 1]]"
5,"[[9, 7, 5, 4, 3, 1], [11, 9, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 3, 2, 1], [11, 9, 5, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1]]"
6,"[[10, 9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [10, 9, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [10, 9, 7, 5, 4, 3, 2, 1]]"
7,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1]]"
8,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 10, 9, 8, 7, 5, 1]]"
9,"[[11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
